Datetime,Consumption,Festivals/Special_events,Power_Consumption_diff
2000-01-01,106.99,1,
2000-02-01,108.46,9,1.47
2000-03-01,113.29,0,4.84
2000-04-01,115.81,7,2.51
2000-05-01,105.47,0,-10.34
2000-06-01,100.82,8,-4.65
2000-07-01,103.43,5,2.61
2000-08-01,96.87,6,-6.56
2000-09-01,90.94,9,-5.94
2000-10-01,96.68,6,5.74
2000-11-01,96.66,9,-0.01
2000-12-01,102.01,2,5.34
2001-01-01,110.19,1,8.18
2001-02-01,105.58,8,-4.61
2001-03-01,108.02,7,2.44
2001-04-01,111.69,9,3.66
2001-05-01,106.58,6,-5.11
2001-06-01,107.24,8,0.66
2001-07-01,97.7,3,-9.54
2001-08-01,92.37,3,-5.33
2001-09-01,102.9,0,10.52
2001-10-01,97.82,7,-5.07
2001-11-01,103.01,2,5.19
2001-12-01,102.39,6,-0.62
2002-01-01,111.26,1,8.87
2002-02-01,117.9,1,6.63
2002-03-01,114.54,6,-3.36
2002-04-01,119.66,5,5.12
2002-05-01,112.45,2,-7.21
2002-06-01,109.03,8,-3.41
2002-07-01,103.15,9,-5.89
2002-08-01,109.65,5,6.51
2002-09-01,101.2,9,-8.45
2002-10-01,98.72,9,-2.49
2002-11-01,110.25,5,11.53
2002-12-01,107.43,0,-2.82
2003-01-01,118.5,3,11.07
2003-02-01,113.84,9,-4.66
2003-03-01,118.05,5,4.22
2003-04-01,123.17,5,5.11
2003-05-01,122.02,4,-1.14
2003-06-01,115.11,0,-6.92
2003-07-01,109.31,7,-5.8
2003-08-01,105.26,4,-4.05
2003-09-01,99.56,4,-5.7
2003-10-01,104.29,6,4.73
2003-11-01,109.34,3,5.05
2003-12-01,120.76,5,11.42
2004-01-01,123.26,3,2.5
2004-02-01,118.84,2,-4.41
2004-03-01,128.88,6,10.04
2004-04-01,125.06,7,-3.82
2004-05-01,120.58,3,-4.48
2004-06-01,121.09,1,0.51
2004-07-01,118.12,9,-2.97
2004-08-01,114.41,2,-3.71
2004-09-01,106.34,0,-8.07
2004-10-01,110.15,7,3.81
2004-11-01,116.73,2,6.57
2004-12-01,124.66,9,7.93
2005-01-01,124.19,6,-0.47
2005-02-01,129.37,9,5.19
2005-03-01,127.38,4,-1.99
2005-04-01,126.04,9,-1.35
2005-05-01,130.76,4,4.73
2005-06-01,128.29,6,-2.47
2005-07-01,117.93,8,-10.36
2005-08-01,118.92,4,0.99
2005-09-01,115.37,0,-3.56
2005-10-01,113.03,9,-2.34
2005-11-01,121.07,9,8.04
2005-12-01,131.13,0,10.06
2006-01-01,130.18,1,-0.94
2006-02-01,140.6,5,10.41
2006-03-01,125.55,8,-15.05
2006-04-01,138.33,7,12.78
2006-05-01,132.08,4,-6.25
2006-06-01,125.89,0,-6.19
2006-07-01,122.8,6,-3.09
2006-08-01,111.18,4,-11.63
2006-09-01,117.26,5,6.08
2006-10-01,121.26,6,4.0
2006-11-01,129.76,2,8.5
2006-12-01,127.12,9,-2.63
2007-01-01,131.31,2,4.19
2007-02-01,136.55,4,5.24
2007-03-01,143.91,5,7.36
2007-04-01,140.58,8,-3.33
2007-05-01,133.84,4,-6.74
