Date,Open,High,Low,Close,Volume
2006-01-03,34.3,34.46,33.85,34.44,4682993
2006-01-04,33.96,34.36,33.84,34.18,4895049
2006-01-05,34.47,35.2,34.0,34.9,1566150
2006-01-06,35.03,35.77,34.46,35.46,5257328
2006-01-09,34.02,34.23,33.09,33.47,4735341
2006-01-10,34.06,34.49,33.01,33.69,3934206
2006-01-11,35.19,35.48,35.04,35.39,3387383
2006-01-12,34.74,35.22,34.69,34.95,3718978
2006-01-13,34.04,34.57,33.98,34.25,2059723
2006-01-16,34.69,36.63,34.09,36.23,3431451
2006-01-17,34.12,34.79,33.69,34.35,4047500
2006-01-18,34.16,34.69,33.87,34.62,4855745
2006-01-19,34.63,35.02,34.27,35.01,2499554
2006-01-20,33.37,34.19,33.3,33.64,1634055
2006-01-23,33.53,33.89,32.61,33.4,4087609
2006-01-24,34.27,34.72,33.94,34.57,2176022
2006-01-25,34.04,34.65,33.4,33.73,2309942
2006-01-26,34.87,35.2,34.33,34.78,5379275
2006-01-27,34.18,34.71,33.59,33.98,2196358
2006-01-30,33.92,34.26,33.57,33.95,5095790
2006-01-31,35.68,37.32,35.54,36.61,2642647
2006-02-01,34.71,35.36,33.57,33.96,3341648
2006-02-02,34.92,35.45,34.25,35.2,2855267
2006-02-03,34.07,34.56,32.86,33.42,4438204
2006-02-06,34.64,35.07,33.83,34.45,3743541
2006-02-07,35.07,36.08,34.87,35.51,3188472
2006-02-08,34.35,34.49,34.25,34.38,3866860
2006-02-09,35.31,35.75,34.6,34.88,5328433
2006-02-10,34.77,35.28,34.17,34.48,4235264
2006-02-13,34.99,35.31,34.47,35.26,2511727
2006-02-14,34.85,34.91,34.51,34.55,1754444
2006-02-15,36.36,36.55,35.75,36.44,4200713
2006-02-16,35.28,35.54,35.01,35.3,4458443
2006-02-17,34.69,35.14,34.22,34.43,3808989
2006-02-20,35.86,37.32,35.76,36.72,3707169
2006-02-21,34.67,35.24,34.64,34.93,1623618
2006-02-22,35.57,36.2,34.3,34.76,1959297
2006-02-23,34.31,34.41,34.0,34.39,4771069
2006-02-24,34.73,34.77,34.42,34.47,2520154
2006-02-27,35.69,36.32,35.64,36.03,4413014
2006-02-28,36.05,36.43,35.5,35.73,5376620
2006-03-01,35.75,36.04,35.07,35.71,4149228
2006-03-02,35.62,35.93,35.37,35.82,2250865
2006-03-03,35.55,36.18,35.55,35.89,4038911
2006-03-06,34.88,34.92,34.15,34.4,4479706
2006-03-07,35.38,35.81,35.0,35.24,5209990
2006-03-08,35.57,35.95,35.14,35.38,4490893
2006-03-09,36.52,36.64,35.97,36.26,2040659
2006-03-10,36.14,37.04,35.88,36.84,5477244
2006-03-13,34.91,35.16,34.47,35.07,4019997
2006-03-14,36.2,36.49,35.03,35.7,4303696
2006-03-15,35.82,36.68,35.29,36.19,3921212
2006-03-16,35.68,36.64,35.44,36.53,3593373
2006-03-17,36.5,37.31,36.42,36.91,3146836
2006-03-20,36.79,36.98,35.37,36.18,2741835
2006-03-21,36.77,36.91,36.26,36.58,3872280
2006-03-22,35.75,36.53,35.44,36.25,4416623
2006-03-23,36.11,36.2,35.53,35.82,4206871
2006-03-24,36.53,36.9,36.19,36.71,2370123
2006-03-27,36.96,37.33,36.69,37.27,4442190
2006-03-28,36.12,36.82,35.57,35.75,5049560
2006-03-29,36.34,36.65,36.13,36.32,4486249
2006-03-30,35.83,35.99,34.24,34.53,5275389
2006-03-31,35.81,36.16,35.21,35.41,4826872
2006-04-03,37.06,37.34,36.8,36.96,3359582
2006-04-04,37.43,37.68,36.61,36.93,3469510
2006-04-05,36.61,37.69,36.36,37.26,1750195
2006-04-06,37.3,37.75,36.12,36.72,2692324
2006-04-07,36.95,37.14,36.54,36.77,5049760
2006-04-10,36.39,36.62,35.87,36.44,3629885
2006-04-11,37.03,37.85,36.48,37.61,3289616
2006-04-12,37.78,37.94,37.09,37.2,2026338
2006-04-13,36.87,37.34,36.64,37.34,3707148
2006-04-14,37.87,38.45,37.65,37.88,2058221
